店名: 新甘百, 地址: 甘井子街8号新甘百商城一层, 省市: 辽宁省, 大连市
店名: 大连金三角餐厅, 地址: 松江路2号, 省市: 辽宁省, 大连市
店名: 解放路, 地址: 解放路18号青泥八号一楼, 省市: 辽宁省, 大连市
店名: 越秀餐厅, 地址: 新岗区新开路82号, 省市: 辽宁省, 大连市
店名: 恒隆外卖口, 地址: 五四路66号大连恒隆广场4层412, 省市: 辽宁省, 大连市
店名: 圣亚外卖, 地址: 星雨街星海公园内圣亚海洋馆旁, 省市: 辽宁省, 大连市
店名: 五一, 地址: 金州新区先进街道五一路366-1号, 省市: 辽宁省, 大连市
店名: 中央大道, 地址: 西安路107号中央大道4层, 省市: 辽宁省, 大连市
店名: 银帆广场, 地址: 开发区金马路409号一层, 省市: 辽宁省, 大连市
店名: 喷泉广场甜品车, 地址: 人民东路商务区音乐喷泉广场, 省市: 辽宁省, 大连市
店名: 普兰万达餐厅, 地址: 振兴街68号万达广场1001-1002B, 省市: 辽宁省, 大连市
店名: 甘井子万达甜品, 地址: 虹韵路6号万达广场, 省市: 辽宁省, 大连市
店名: 甘井子万达, 地址: 虹韵路6号万达广场, 省市: 辽宁省, 大连市
店名: 万盛甜品站, 地址: 南关岭路777号万盛购物广场, 省市: 辽宁省, 大连市
店名: 百斯德, 地址: 泉水街道华东路与中华路交汇处A4区50B-1号一层, 省市: 辽宁省, 大连市
店名: 柏威年, 地址: 中山路129-3号柏威年购物中心B1层下沉广场旁, 省市: 辽宁省, 大连市
店名: 亿合城B1层甜品站, 地址: 山东路235号亿合城B1层, 省市: 辽宁省, 大连市
店名: 柏威年L4层甜品站, 地址: 中山路129-3号柏威年购物中心L4层, 省市: 辽宁省, 大连市
店名: 国宾楼外卖点, 地址: 大连经济技术开发区金石滩滨海中路黄金海岸中段一层, 省市: 辽宁省, 大连市
店名: 大连北站南1F, 地址: 华北路666号大连北站南一楼, 省市: 辽宁省, 大连市
店名: 大连北站南1F, 地址: 华北路666号大连北站南一楼, 省市: 辽宁省, 大连市
店名: 典尊, 地址: 五一路560号, 省市: 辽宁省, 大连市
店名: 开发区快轨站, 地址: 辽河西路88号, 省市: 辽宁省, 大连市
店名: 星海广场, 地址: 星海广场C3区31号一层1号, 省市: 辽宁省, 大连市
店名: 中央大道甜品站, 地址: 沙河口区西安路103-1.103-2.103-3号L4-007.L1-009-B商铺, 省市: 辽宁省, 大连市
店名: 大华锦绣, 地址: 高新园区博翔街49号一层102室, 省市: 辽宁省, 大连市
店名: 学府, 地址: 大连大学斜对面金凯龙购物广场一楼, 省市: 辽宁省, 大连市
店名: 大连金地, 地址: 甘井子区大连湾街道金地檀境艺学南园78号, 省市: 辽宁省, 大连市
店名: 胜利广场甜品站, 地址: 胜利广场28号精品名店街M-16号店, 省市: 辽宁省, 大连市
店名: 中央大道临时甜品站, 地址: 西安路107号中央大道地下一楼超市旁, 省市: 辽宁省, 大连市
店名: 高新万达, 地址: 高新区黄浦路502号大连苏宁易购广场1F北门, 省市: 辽宁省, 大连市
店名: 中石化天元餐厅, 地址: 张前路753号天元加油站, 省市: 辽宁省, 大连市
店名: 中石化天元餐厅, 地址: 市辖区张前路753号, 省市: 辽宁省, 大连市
店名: 旺角, 地址: 旺角商贸区钻石街新建万成广场一层, 省市: 辽宁省, 大连市
