店名: 金色家园, 地址: 莲花路2018号金色家园三期裙楼首层, 省市: 广东省, 深圳市
店名: 宝石, 地址: 石岩镇宝石南路岁宝百货一层, 省市: 广东省, 深圳市
店名: 华强广场, 地址: 华强北路1019#华强广场负一层, 省市: 广东省, 深圳市
店名: 丰盛町, 地址: 车公庙丰盛町C区, 省市: 广东省, 深圳市
店名: 华旺, 地址: 大浪街道同胜社区华旺路同富裕工业园内第3栋一层C118-125号, 省市: 广东省, 深圳市
店名: 六和, 地址: 六和路98号华润万家一楼, 省市: 广东省, 深圳市
店名: 大新, 地址: 桃园路与前海路交汇处大新村“大新前海商业中心”1-2F, 省市: 广东省, 深圳市
店名: 松福, 地址: 沙井街道民主大道濠景城东座岁宝百货1层102号, 省市: 广东省, 深圳市
店名: 万众, 地址: 民治街道牛栏前大厦岁宝百货一层101号铺位, 省市: 广东省, 深圳市
店名: 裕安, 地址: 新安街道裕安一路融景园1栋商场, 省市: 广东省, 深圳市
店名: 富通城, 地址: 兴业路与悦和路交汇处七巧国一楼肯德基, 省市: 广东省, 深圳市
店名: 坑梓, 地址: 坑梓街道人民路与梓兴路交汇处, 省市: 广东省, 深圳市
店名: 龙华中心站, 地址: 龙华街道和平路地铁龙华中心站B出口旁, 省市: 广东省, 深圳市
店名: 瑞景园, 地址: 龙岗街道龙平东路东方瑞景苑首层, 省市: 广东省, 深圳市
店名: 宝龙, 地址: 龙岗街道宝龙工业区宏佰百货首层南侧, 省市: 广东省, 深圳市
店名: 联诚, 地址: 沙井上南大街200号联诚购物广场一楼, 省市: 广东省, 深圳市
店名: 上步, 地址: 华强南路与深南中路交汇处, 省市: 广东省, 深圳市
店名: 鼎新, 地址: 沙河西路与留仙大道交汇处鼎新大厦A座1-2层, 省市: 广东省, 深圳市
店名: 田贝, 地址: 贝丽南路59号，59-6号, 省市: 广东省, 深圳市
店名: 深圳湾体育中心, 地址: 海德三道深圳湾体育中心南门一层, 省市: 广东省, 深圳市
店名: 新保辉, 地址: 南海大道新保辉大厦1层, 省市: 广东省, 深圳市
店名: 德赛, 地址: 科技园南区德赛科技大厦一、二层, 省市: 广东省, 深圳市
店名: 深圳北站高铁, 地址: 北站候车厅A区二楼（A2-A3检票口上方东方即白旁）, 省市: 广东省, 深圳市
店名: 金山, 地址: 深南东路5033号金山大厦1楼, 省市: 广东省, 深圳市
店名: 凤凰山, 地址: 福永凤凰山肯德基, 省市: 广东省, 深圳市
店名: 公明友谊, 地址: 公明街道金安路友谊书城一楼, 省市: 广东省, 深圳市
店名: 固戍地铁站, 地址: 西乡街道宝安大道与固戍二路交汇处新天地购物广场, 省市: 广东省, 深圳市
店名: 兴万达, 地址: 观澜大道兴万达商场首层, 省市: 广东省, 深圳市
店名: 政丰, 地址: 福永街道政丰北路康之宝超级市场一层, 省市: 广东省, 深圳市
店名: 岗厦, 地址: 彩田路东方新天地广场（大中华IFC）一层, 省市: 广东省, 深圳市
店名: 华南城, 地址: 平湖街道华南大道1号华南发展中心首层1-06、1-07及二层2-08号商铺, 省市: 广东省, 深圳市
店名: 科苑, 地址: 科兴路10号汇景豪苑301（1F-08B), 省市: 广东省, 深圳市
店名: 上东湾, 地址: 沙头角深沙路与沙盐路交汇处上东湾首层（沙头角口岸对面）, 省市: 广东省, 深圳市
店名: 星河时代, 地址: 龙岗大道龙岗COCOPARK商场2楼L2C-012号商铺, 省市: 广东省, 深圳市
店名: 罗湖火车站, 地址: 罗湖火车站大楼二层夹层, 省市: 广东省, 深圳市
店名: 三联, 地址: 清湖三联路兴万和商场首层商铺, 省市: 广东省, 深圳市
店名: 罗湖口岸, 地址: 罗湖口岸交通楼二楼B交-29号, 省市: 广东省, 深圳市
店名: 水榭春天, 地址: 龙华民治街道人民南路与民塘路交汇处莱蒙水榭春天三期商业首层, 省市: 广东省, 深圳市
店名: 松柏, 地址: 横岗街道港信达横岗大厦裙楼商业首二层, 省市: 广东省, 深圳市
店名: 民旺, 地址: 民治街道民治大道与民旺路交汇处嘉熙业广场一楼, 省市: 广东省, 深圳市
店名: 兴围, 地址: 福永街道兴围社区兴围大道深鹏百货首层, 省市: 广东省, 深圳市
店名: 缤纷, 地址: 西乡街道臣田工业区宝民二路与宝田一路交汇处缤纷时代购物广场一、二层, 省市: 广东省, 深圳市
店名: 新银座, 地址: 人民南路东侧新银座裙楼首层, 省市: 广东省, 深圳市
店名: 双拥, 地址: 平湖街道双拥街136-138号综合楼及辅楼首层101-1, 省市: 广东省, 深圳市
店名: 宝能太古城, 地址: 中心路(湾段)2199号宝能太古城花园购物中心南区负一层SB103, 省市: 广东省, 深圳市
店名: 塘头, 地址: 石岩街道塘头大道东海百货一、二层, 省市: 广东省, 深圳市
店名: 松坪山, 地址: 科技园北区朗山路松坪山万昌百, 省市: 广东省, 深圳市
店名: 布吉老街, 地址: 布吉街道布吉路73-83号（单号）时代广场布吉路83号一楼、二楼202, 省市: 广东省, 深圳市
店名: 西岸华府, 地址: 松岗街道沙江路中海西岸华府南区1栋101首层, 省市: 广东省, 深圳市
店名: 金矿, 地址: 华侨城欢乐谷园区金矿镇, 省市: 广东省, 深圳市
店名: 深圳火车站SEL, 地址: 火车站二楼长途列车候车大厅, 省市: 广东省, 深圳市
店名: 数码新城, 地址: 龙岗中心区黄阁北路445号（天安数码新城1期1号楼）, 省市: 广东省, 深圳市
店名: 书香门第, 地址: 民治街道金龙路与梅陇路交汇处书香门第上河坊, 省市: 广东省, 深圳市
店名: 凤凰DT, 地址: 平湖街道平湖凤凰新村商业广场, 省市: 广东省, 深圳市
店名: 坪山友谊, 地址: 坪山大道（原深汕路）246号坪山投资大厦首二层, 省市: 广东省, 深圳市
店名: 益华DT, 地址: 沙井街道宝安大道与北环路交汇处益华电子广场, 省市: 广东省, 深圳市
店名: 固戍餐厅, 地址: 西乡街道固戍社区固戍一路281号1楼A1铺, 省市: 广东省, 深圳市
店名: 民乐餐厅, 地址: 民治街道民乐村民乐综合场首层, 省市: 广东省, 深圳市
店名: 华强东, 地址: 燕南路88#中泰燕南名庭2期1-2层, 省市: 广东省, 深圳市
店名: 竹子林餐厅, 地址: 深南西路竹子林益华综合楼B栋西北侧, 省市: 广东省, 深圳市
店名: 蔚蓝海岸餐厅, 地址: 后海大道蔚蓝海岸商住楼1楼, 省市: 广东省, 深圳市
店名: 新园, 地址: 解放路华城文山楼二楼1-6号, 省市: 广东省, 深圳市
店名: 凤凰肯德, 地址: 凤凰路11号江月大厦一楼（京基.凤凰印象对面）, 省市: 广东省, 深圳市
店名: 东园, 地址: 东园路台湾花园一楼东, 省市: 广东省, 深圳市
店名: 宝安南, 地址: 宝安南路14号茂源大厦一楼, 省市: 广东省, 深圳市
店名: 东门中, 地址: 东门中路南海中心一层, 省市: 广东省, 深圳市
店名: 欢乐谷, 地址: 华侨城欢乐谷一楼, 省市: 广东省, 深圳市
店名: 横岗, 地址: 横岗镇茂盛路新世纪广场一楼, 省市: 广东省, 深圳市
店名: 四海, 地址: 蛇口沃尔玛广场一楼, 省市: 广东省, 深圳市
店名: 国都, 地址: 布吉街道金鹏路国都花园一二层, 省市: 广东省, 深圳市
店名: 梅林, 地址: 梅林一村家乐福超市首层, 省市: 广东省, 深圳市
店名: 春风, 地址: 春风路2021号长丰苑首层, 省市: 广东省, 深圳市
店名: 招商, 地址: 蛇口公园路利安商场首层, 省市: 广东省, 深圳市
店名: 八卦岭, 地址: 八卦二路沃尔玛首层, 省市: 广东省, 深圳市
店名: 六约, 地址: 横岗龙岗大道2013时尚广场首层, 省市: 广东省, 深圳市
店名: 彩田, 地址: 彩田路2066号江苏宾馆1-2层, 省市: 广东省, 深圳市
店名: 福永, 地址: 福永镇福永大道汇隆城商场首层, 省市: 广东省, 深圳市
店名: 宝华, 地址: 龙华街道人民北路百佳华商场首层, 省市: 广东省, 深圳市
店名: 沙井餐厅, 地址: 沙井镇新沙路276号沙井佳华商场首层, 省市: 广东省, 深圳市
店名: 景田, 地址: 红荔西路景田南四街香密三村五号群楼岁宝百货首层, 省市: 广东省, 深圳市
店名: 创业, 地址: 44区富源商贸中心大厦1层, 省市: 广东省, 深圳市
店名: 龙翔--龙岗世贸广场1楼, 地址: 龙翔大道世贸广场华润万家1楼, 省市: 广东省, 深圳市
店名: 荔园, 地址: 荔园路77号(西乡百佳华商场旁）, 省市: 广东省, 深圳市
店名: 东湖, 地址: 东湖路彩世界家园华润万方超首层, 省市: 广东省, 深圳市
店名: 桃园, 地址: 桃园南常兴西路南景苑1-2层肯德基, 省市: 广东省, 深圳市
店名: 公明, 地址: 公明镇长春南路西一号佳华平价市场公明分店首层, 省市: 广东省, 深圳市
店名: 平湖, 地址: 平湖街道守珍街53号平湖商业大楼首层肯德基平湖店, 省市: 广东省, 深圳市
店名: 群星广场, 地址: 福田区红荔路38号群星广场C座一楼, 省市: 广东省, 深圳市
店名: 宝珠, 地址: 西丽珠光路万佳百货首层, 省市: 广东省, 深圳市
店名: 海雅, 地址: 南海大道海雅缤纷广场1-2层, 省市: 广东省, 深圳市
店名: 龙观, 地址: 龙观西路龙华天虹商场首层肯德基, 省市: 广东省, 深圳市
店名: 东方雅苑, 地址: 福民路北益田路东侧皇达东方雅苑商业裙楼首层, 省市: 广东省, 深圳市
店名: 喜港城, 地址: 喜港城--松岗街道东方大道东方水围鸿盛花园一二层, 省市: 广东省, 深圳市
店名: 红荔西, 地址: 红荔西路和农林路交叉口荔林苑一楼, 省市: 广东省, 深圳市
店名: 嘉御山, 地址: 坂田街道五和大道与吉华路交汇处坂田天虹商场一楼, 省市: 广东省, 深圳市
店名: 鸿洲餐厅, 地址: 深南大道与南新路口交汇处鸿洲新都首层, 省市: 广东省, 深圳市
店名: 机场T3到达, 地址: 宝安国际机场T3航站楼二楼到达层, 省市: 广东省, 深圳市
店名: 彩德城, 地址: 彩田路与福彩街交叉口彩德城1层, 省市: 广东省, 深圳市
店名: 三联DT, 地址: 布吉三联布龙路红星美凯龙旁三联综合楼一层, 省市: 广东省, 深圳市
店名: 金稻田, 地址: 金稻田路清水河新村综合楼一楼, 省市: 广东省, 深圳市
店名: 福荣路, 地址: 金地一路绿景蓝湾半岛1层西侧, 省市: 广东省, 深圳市
店名: 新天地, 地址: 宝安北路1004号中洲新天地商场, 省市: 广东省, 深圳市
店名: 福民路, 地址: 福民路星河明居裙楼(天虹百货)一楼1002部分, 省市: 广东省, 深圳市
店名: 中航天逸肯德基 , 地址: 民治街道人民路2020号龙华天虹购物中心一层L126号铺, 省市: 广东省, 深圳市
店名: 塘尾, 地址: 福永街道塘尾社区凤塘大道唐美商场一层, 省市: 广东省, 深圳市
店名: 福华路, 地址: 深圳地铁一期工程会展中心站物业区A19, 省市: 广东省, 深圳市
店名: 南联DT, 地址: 龙岗街道南联社区龙岗大道（龙岗段）5020-1至5020-9号综合楼首二层, 省市: 广东省, 深圳市
店名: 金鸡路, 地址: 桃园路北侧田厦翡翠明珠花园裙楼首层, 省市: 广东省, 深圳市
店名: 福田高铁, 地址: 广深港高铁福田站福1-6号, 省市: 广东省, 深圳市
店名: 观澜湖, 地址: 观澜街道观澜湖新城商业一层, 省市: 广东省, 深圳市
店名: 罗湖商业城, 地址: 火车站广场罗湖商业城一层JG08, 省市: 广东省, 深圳市
店名: 水径, 地址: 吉华街道吉华路266号下水径华润万家一楼, 省市: 广东省, 深圳市
店名: 坭岗, 地址: 坭岗路泥岗村门口市场一、二楼, 省市: 广东省, 深圳市
店名: 油松餐厅, 地址: 龙华街道东环一路与油松路交汇处良基大厦一楼肯德基, 省市: 广东省, 深圳市
店名: 良益, 地址: 南山区南新路良益大厦一层, 省市: 广东省, 深圳市
店名: 粤商中心, 地址: 东环二路8号ICO商场L1C-006号铺, 省市: 广东省, 深圳市
店名: 软件园, 地址: 软件产业基地7栋首层01、02、05号铺, 省市: 广东省, 深圳市
店名: 桃源村餐厅, 地址: 桃源村三期裙楼岁宝百货商场首层, 省市: 广东省, 深圳市
店名: 星都豪庭, 地址: 布吉街道大芬社区星都豪庭地下室01层14、15号商铺及后区, 省市: 广东省, 深圳市
店名: 联投东方, 地址: 松岗街道联投东方华府一期一层, 省市: 广东省, 深圳市
店名: 卓悦汇, 地址: 梅林路与中康路交汇处卓悦汇购物中心B2层, 省市: 广东省, 深圳市
店名: 黄田, 地址: 西乡街道黄田村长园路28号昌宏百货一层, 省市: 广东省, 深圳市
店名: 科兴, 地址: 科技园中区科苑路15号科兴科学园G层CG17b号铺, 省市: 广东省, 深圳市
店名: 深圳市鑫美饮食管理有限公司新洲, 地址: 新洲路中城天邑一楼(吉之岛旁）, 省市: 广东省, 深圳市
店名: 宏发嘉域, 地址: 光明新区公明街道薯田埔社区宏发嘉域花园1层121号铺, 省市: 广东省, 深圳市
店名: 水贝, 地址: 水贝一路与贝丽北路交汇处东北角金展珠宝广场首层及夹层, 省市: 广东省, 深圳市
店名: 蛇口港, 地址: 蛇口邮轮中心四楼407、408号铺, 省市: 广东省, 深圳市
店名: 石岩星城（星城购物中心）, 地址: 石岩街道宝石东路与羊台山路交汇处星城购物, 省市: 广东省, 深圳市
店名: 新沙, 地址: 沙井街道西环路天虹购物中心一层, 省市: 广东省, 深圳市
店名: 松岗, 地址: 松岗镇107国道松岗段293号松岗佳华商场首层, 省市: 广东省, 深圳市
店名: 深圳市鑫美饮食管理有限公司百门前餐厅, 地址: 南湾街道布沙路汇佳购物广场首二层, 省市: 广东省, 深圳市
店名: 会展中心, 地址: 会展中心餐饮广场C-2, 省市: 广东省, 深圳市
店名: 章阁, 地址: 观澜街道章阁社区章阁人行天桥, 省市: 广东省, 深圳市
店名: 新金光华, 地址: 人民南路2028号金光华广场第B1层001号, 省市: 广东省, 深圳市
店名: 公明天虹, 地址: 光明新区公明街道长春路宝利来酒店（1+2）F, 省市: 广东省, 深圳市
店名: 坪山益田, 地址: 坪山新区深圳坪山益田假日世界L1-15 号, 省市: 广东省, 深圳市
店名: 怀德公元, 地址: 福永街道福永汽车站南侧怀德益田假日天地首层肯德基, 省市: 广东省, 深圳市
店名: 龙华山姆, 地址: 龙华新区龙华街道梅龙大道与东环一路交汇处龙华山姆1F, 省市: 广东省, 深圳市
店名: 大峡谷精选, 地址: 大梅沙东部华侨城大峡谷儿童乐园C6铺位, 省市: 广东省, 深圳市
店名: 万象天地, 地址: 深南大道与铜鼓路交汇处万象天地购物中心5楼, 省市: 广东省, 深圳市
店名: 移动餐车1, 地址: 龙华新区民康路1号奥特莱斯8号仓, 省市: 广东省, 深圳市
店名: 华为 , 地址: 坂田街道冲之大道华为园区E区大食代内, 省市: 广东省, 深圳市
店名: 壹方城, 地址: 创业二路与新湖路交汇处西南处壹方城B2层, 省市: 广东省, 深圳市
店名: 海航城, 地址: 天玑城（原海航城）商业广场一楼肯德基餐厅, 省市: 广东省, 深圳市
店名: 中电, 地址: 深南中路中电广场大厦一层D-F1-N002号（标店）和夹层001号（独立甜, 省市: 广东省, 深圳市
店名: 布吉万象汇肯德基, 地址: 龙岗区翔鸽路深圳华润万象汇购物中心 3层  L389  号商铺, 省市: 广东省, 深圳市
店名: 生态城, 地址: 沙河西路1819号深圳湾科技生态园7栋B座01层01、02、09号, 省市: 广东省, 深圳市
店名: 和平, 地址: 福永街道永和路18-19号A栋一层+二层, 省市: 广东省, 深圳市
店名: 玉律, 地址: 光明新区公明街道办玉律社区德兴路2号东江工业园, 省市: 广东省, 深圳市
店名: 科园餐厅, 地址: 海天一路16号软件产业基地5栋裙楼01层28号, 省市: 广东省, 深圳市
店名: 龙城广场万科里, 地址: 中心城龙城广场万科里负一层B1-11号, 省市: 广东省, 深圳市
店名: 肯德基深圳北站二, 地址: 北站候车厅B区二楼（B2-B3检票口上方常德米粉旁）, 省市: 广东省, 深圳市
店名: 卓越后海, 地址: 南山区南山街道海德三道卓越后海中心103号铺, 省市: 广东省, 深圳市
店名: 现代城, 地址: 南山区创业路现代城华庭东林教育一楼, 省市: 广东省, 深圳市
店名: 八号仓, 地址: 龙华区民治街道民新社区华南物流交易展示中心L236号商铺, 省市: 广东省, 深圳市
店名: 新裕客隆, 地址: 沙井街道沙头社区沙井路180号综合楼一层, 省市: 广东省, 深圳市
店名: 万科云城, 地址: 石鼓路西侧云城绿廊C区商业L1-014, 省市: 广东省, 深圳市
店名: 中海锦城, 地址: 简上路与腾龙路交汇处AT Mall项目负一层和一层, 省市: 广东省, 深圳市
店名: 百仕达甜品站, 地址: 喜荟城购物中心一层L1-147商铺, 省市: 广东省, 深圳市
店名: 水贝地铁站, 地址: IBC MALL负一层B1-30(水贝地铁站A出口), 省市: 广东省, 深圳市
店名: 壹海城, 地址: 盐田区壹海城1Mall商场L2层008A号, 省市: 广东省, 深圳市
店名: 浪荣路, 地址: 龙华区大浪街道浪荣路大浪万联购物广场F1层, 省市: 广东省, 深圳市
店名: 观光路, 地址: 福城街道大水坑社区(凯润时代广场)首层, 省市: 广东省, 深圳市
店名: 星光, 地址: 南湾街道龙岗大道东部英郡假日广场二层F2-49、50、51、52号, 省市: 广东省, 深圳市
店名: 甘坑小镇, 地址: 布吉街道甘坑客家小镇古建房屋13#碉楼附属楼D栋101铺位, 省市: 广东省, 深圳市
店名: 粤美特, 地址: 高新南七道1号粤美特大厦一楼, 省市: 广东省, 深圳市
店名: 福中一路, 地址: 福中一路中银花园1层, 省市: 广东省, 深圳市
店名: 松瑞天虹, 地址: 松岗街道松岗工业区晖泓大厦（松瑞路107号）1001-1002号, 省市: 广东省, 深圳市
店名: 应人石餐厅, 地址: 石岩街道应人石社区天宝路南海广场1层, 省市: 广东省, 深圳市
店名: 锦荟广场, 地址: 龙岗大道1018号锦荟广场, 省市: 广东省, 深圳市
店名: 新莲塘, 地址: 莲塘聚福路金色年华家园裙楼首层, 省市: 广东省, 深圳市
店名: 天安云谷, 地址: 坂田街道天安云谷二期4栋101、103、104-1号商铺, 省市: 广东省, 深圳市
店名: 桥头, 地址: 社安区福永街道桥和路东海百货首层肯德基, 省市: 广东省, 深圳市
店名: 大冲, 地址: 大冲新城花园一楼2栋1C, 省市: 广东省, 深圳市
店名: 阿里中心, 地址: 南山区科苑南路3331号阿里巴巴大厦T2栋一楼T2-11,12商铺, 省市: 广东省, 深圳市
店名: 福华路甜品站, 地址: 深圳地铁一期工程会展中心物业区连城新天地C25号, 省市: 广东省, 深圳市
店名: 卓悦中心, 地址: 福田区卓悦中心ONE AVENUE L4层L418号商铺, 省市: 广东省, 深圳市
店名: 西丽益田, 地址: 留仙大道益田·假日里 L1-7-1、L2-2 号商铺, 省市: 广东省, 深圳市
店名: 福永意库, 地址: 福永街道福洲大道福海工业区二区2号首层福永意库L103-L104号, 省市: 广东省, 深圳市
店名: 新秀, 地址: 新秀路MINI PARK二层2-001A, 省市: 广东省, 深圳市
店名: 香梅, 地址: 景田北路名进大厦1楼, 省市: 广东省, 深圳市
店名: 光明大仟里, 地址: 光明新区公明街道松白路与长春中路交汇处光明大仟里, 省市: 广东省, 深圳市
店名: 国展中心, 地址: 宝安区深圳国际会展中心第三层的第L1C301-1商铺, 省市: 广东省, 深圳市
店名: 国展中心外卖点, 地址: 宝安区深圳国际会展中心中央廊道一层CC102B, 省市: 广东省, 深圳市
店名: 宝安大仟里, 地址: 西乡街道码头路新湖路海城路合围处宝安大仟里购物中心负一层B138-139, 省市: 广东省, 深圳市
店名: 上合花园, 地址: 宝安区新安街道公园路上合花园商业裙楼L1-17、L2-48商铺, 省市: 广东省, 深圳市
店名: 创维, 地址: 高新南四道18号创维半导体设计大厦西座, 省市: 广东省, 深圳市
店名: 福城天虹, 地址: 龙华区福城天虹购物中心（澜汇花园（一期）商业裙楼）F101号, 省市: 广东省, 深圳市
店名: 三诺大厦, 地址: 三诺智慧大厦第一层的L1-09.10,第二层L2-03, 省市: 广东省, 深圳市
店名: 深圳湾大街, 地址: 文心三路9号中洲控股金融中心B座2C单元及南面拓展建筑面积, 省市: 广东省, 深圳市
店名: 源政, 地址: 高新北区朗山路和科技北三路交汇处源政创业大厦一层, 省市: 广东省, 深圳市
店名: 喜之郎, 地址: 后海中心路3033号，喜之郎大厦负一层 05/06, 省市: 广东省, 深圳市
店名: 前海香江, 地址: 南山区兴海大道与临海大道交汇处香江金融中心1层肯德基, 省市: 广东省, 深圳市
店名: 红山6979, 地址: 民治街道红山六九七九L1层11栋-184座, 省市: 广东省, 深圳市
店名: 华为外卖点, 地址: 华为深圳坂田基地H区直招档口（西式快餐）, 省市: 广东省, 深圳市
店名: 福围, 地址: 宝安区福永街道下十围路31号盛浩鑫广场一楼001号铺位, 省市: 广东省, 深圳市
店名: 益田村, 地址: 益田五路新洲同创汇1层E101, 省市: 广东省, 深圳市
店名: 同泰广场, 地址: 福海街道宝安大道6259号“同泰时代广场”L1层68-24铺位, 省市: 广东省, 深圳市
店名: 新地中央, 地址: 光明区光明大道与河心南路交汇处东南侧新地中央广场办公楼102号商铺, 省市: 广东省, 深圳市
店名: 福田保税区, 地址: 保税区市花路创凌通大厦1层, 省市: 广东省, 深圳市
店名: 皇御苑, 地址: 福田南路40号金领假日公寓一层07\08\09\10号铺, 省市: 广东省, 深圳市
店名: 泰然, 地址: 泰然八路云松大厦首层, 省市: 广东省, 深圳市
店名: 良益餐厅, 地址: 南山街道南新路良益大厦一楼肯德基, 省市: 广东省, 深圳市
店名: 华侨城大厦, 地址: 深南路9018号A座G-07；A座G-08；B座B-103B, 省市: 广东省, 深圳市
店名: 德政路, 地址: 汇裕名都花园商场西区首层1039-1040号商铺, 省市: 广东省, 深圳市
