店名: 海门时代, 地址: 解放中路309号北贵都之星利群时代一层肯德基餐厅, 省市: 江苏省, 南通市
店名: 南通北大街, 地址: 北大街108号（大润发超市一层）, 省市: 江苏省, 南通市
店名: 南通平潮, 地址: 平潮镇建设路137号肯德基, 省市: 江苏省, 南通市
店名: 如皋白蒲, 地址: 白蒲镇文峰大世界一楼, 省市: 江苏省, 南通市
店名: 南通世茂, 地址: 新东路101号地块（上海东路北、新河东路东）世茂广场大润发超市内, 省市: 江苏省, 南通市
店名: 南通万达, 地址: 深南路9号万达广场一楼2号入口, 省市: 江苏省, 南通市
店名: 南通邦豪, 地址: 崇川区濠北路529号邦豪时尚广场1楼, 省市: 江苏省, 南通市
店名: 通州奥邦, 地址: 通州市高新区金霞路888号, 省市: 江苏省, 南通市
店名: 苏通大桥服务区东区, 地址: 苏通大桥北接线服务区（南通农场）东区一层, 省市: 江苏省, 南通市
店名: 苏通大桥服务区西区, 地址: 苏通大桥北接线服务区（南通农场）西区一层, 省市: 江苏省, 南通市
店名: 南通张芝山, 地址: 张芝山镇银洋河村3、18、25组, 省市: 江苏省, 南通市
店名: 启东大润发, 地址: 汇龙镇汇东村（民胜中路与灵秀路交界处）启东大润发, 省市: 江苏省, 南通市
店名: 海门中南城, 地址: 南海路南、张謇大道西侧“海门中南城购物中心”一层, 省市: 江苏省, 南通市
店名: 海门文峰精选, 地址: 江海路115号一层, 省市: 江苏省, 南通市
店名: 南通国城大润发, 地址: 观音山街道青年中路200号国城大润发超市一楼, 省市: 江苏省, 南通市
店名: 南通印象城, 地址: 工农南路155号印象城负一层B1-19, 省市: 江苏省, 南通市
店名: 如皋新城吾悦, 地址: 惠政路5号如皋吾悦广场1F-1001-1号, 省市: 江苏省, 南通市
店名: 南通永旺, 地址: 市辖区星湖大道1066号永旺梦乐城一层145号, 省市: 江苏省, 南通市
店名: 通州万达, 地址: 高新技术产业开发区朝霞东路198号, 省市: 江苏省, 南通市
店名: 南通竹行肯德基餐厅, 地址: 开发区振兴东路9号, 省市: 江苏省, 南通市
店名: 启东欣乐城, 地址: 人民东路29号欣乐城太平洋百货一层, 省市: 江苏省, 南通市
店名: 南通印象城外卖点, 地址: 工农南路155号南通印象城三层L3-K03, 省市: 江苏省, 南通市
店名: 文峰城市广场, 地址: 虹桥路1号南通文峰城市广场一层, 省市: 江苏省, 南通市
店名: 如皋文峰, 地址: 如城街道中山东路588号如皋文峰城市广场一层, 省市: 江苏省, 南通市
店名: 海门中南城外卖点, 地址: 南海路南张謇大道西侧海门中南城购物中心三层, 省市: 江苏省, 南通市
店名: 海安星湖, 地址: 黄海大道（东）29号海安星湖商业中心1#楼, 省市: 江苏省, 南通市
店名: 南通万象城, 地址: 港闸区北大街111号L337号商铺, 省市: 江苏省, 南通市
店名: 启东吾悦, 地址: 汇龙镇建设南路8号新城吾悦广场1028、2029-2号, 省市: 江苏省, 南通市
店名: 华融和生, 地址: 通州区川姜镇川叠路1555号华融和生商业广场一楼A1-1，二楼A2-2, 省市: 江苏省, 南通市
店名: 南通唐闸, 地址: 港闸区唐闸镇兴隆街2-1号一楼、二楼, 省市: 江苏省, 南通市
店名: 如东时代广场, 地址: 掘港镇海花路186号如东时代生活广场一楼肯德基, 省市: 江苏省, 南通市
店名: 南通兴东机场, 地址: 通州区兴东街道南通兴东机场CFDT-2区域, 省市: 江苏省, 南通市
店名: 南通崇川, 地址: 崇川路79号南通国际青创园4号楼一层, 省市: 江苏省, 南通市
店名: 启东海上餐厅, 地址: 恒大海上威尼斯6-4幢, 省市: 江苏省, 南通市
店名: 南通圆通甜品站, 地址: 市辖区工农路57号南通圆融广场三楼区域NT0302场地, 省市: 江苏省, 南通市
店名: 圆融堤调, 地址: 永怡路111号南通堤调商业中心A1楼一层铺位号101, 省市: 江苏省, 南通市
店名: 吕四欣乐城, 地址: 吕四港镇鹤城南路29号欣乐鹤城苑D区，幸福蓝海影城旁, 省市: 江苏省, 南通市
店名: 苏通邻里, 地址: 市辖区月季路6号苏通邻里中心102室一层, 省市: 江苏省, 南通市
店名: 启东碧桂街区, 地址: 开发区中邦上海城商业一期13幢一层139室、140室、141室, 省市: 江苏省, 南通市
店名: 叠石桥绣女路, 地址: 三星镇星海路2388号121室，107室一层, 省市: 江苏省, 南通市
店名: 海安城市客厅, 地址: 安平中路209号城市客厅购物中心一层105-107号铺位, 省市: 江苏省, 南通市
店名: 海安万达, 地址: 高新区钟庄路东侧、黄海大道北侧海安万达广场1019、1020号, 省市: 江苏省, 南通市
