店名: 钟家村, 地址: 汉阳大道139号汉商商场1楼, 省市: 湖北省, 武汉市
店名: 马鹦路, 地址: 马鹦路与国博大道交叉口西南角江腾广场, 省市: 湖北省, 武汉市
店名: 潜江中心城, 地址: 潜江市园林办事处园林北路潜江中心城一层, 省市: 湖北省, 武汉市
店名: 铁桥广场, 地址: 汉阳区百灵路2号一层, 省市: 湖北省, 武汉市
店名: 湖心岛外卖点, 地址: 东湖开发区东湖绿道楚风园驿站一二层及湖心岛驿站一层, 省市: 湖北省, 武汉市
店名: 阳逻广场餐厅, 地址: 新洲区阳逻街阳光大道389号, 省市: 湖北省, 武汉市
店名: 创意天地, 地址: 洪山区野芷湖西路16号创意天地一期餐饮主力店一层, 省市: 湖北省, 武汉市
店名: 光谷首创奥莱, 地址: 高新二路139号首创奥特莱斯F1层, 省市: 湖北省, 武汉市
店名: 汉街万达甜品站, 地址: 武昌区水果湖沙湖大道汉街万达广场B1005-1号商铺, 省市: 湖北省, 武汉市
店名: 奥山甜品站, 地址: 青山区和平大道809号罗家港路口武汉奥山世纪广场一层G1053号商铺, 省市: 湖北省, 武汉市
店名: 芳草路DT, 地址: 芳草路97号, 省市: 湖北省, 武汉市
店名: 御华里, 地址: 安居西路与怡和路交叉口西100米, 省市: 湖北省, 武汉市
店名: 花山DT, 地址: 花城大道8号, 省市: 湖北省, 武汉市
店名: 长丰大道, 地址: 长丰大道158号（盛惠中原里项目）, 省市: 湖北省, 武汉市
店名: 巨龙大道, 地址: 盘龙经济开发区刘店村、下集村巨龙大道香奈天鹅湖A区二期德成生活中心项目一层, 省市: 湖北省, 武汉市
店名: 金地自在城, 地址: 和平街武丰村K2地块金地广场B1层, 省市: 湖北省, 武汉市
店名: 金银湖, 地址: 金银湖办事处金银湖路6号S3号楼一层, 省市: 湖北省, 武汉市
店名: 王家湾家乐福甜品站, 地址: 汉阳大道577号一楼, 省市: 湖北省, 武汉市
店名: 光谷新发展, 地址: 关山大道473号光谷新发展国际中心一层A1-23, 省市: 湖北省, 武汉市
店名: 盘龙奥莱甜品站, 地址: 盘龙大道51号百联奥特莱斯广场星光大道, 省市: 湖北省, 武汉市
店名: 世界城悦心汇甜品站, 地址: 洪山区光谷街7号光谷世界城负一层悦心汇, 省市: 湖北省, 武汉市
店名: 武汉站三, 地址: 洪山区武汉火车站候车大厅B区夹层B2-05号商铺, 省市: 湖北省, 武汉市
店名: 淮海路, 地址: 淮海南路401号泛海生活广场项目（江汉区王家墩商务区西片）一层, 省市: 湖北省, 武汉市
店名: WH1990, 地址: 友谊大道368号湖北大学风华园餐厅一层, 省市: 湖北省, 武汉市
店名: 四新南, 地址: 江城大道与四新南路交汇处华发未来荟5号楼1楼肯德基, 省市: 湖北省, 武汉市
店名: 家盛时代, 地址: 武昌区中北路120号家盛时代家居一楼, 省市: 湖北省, 武汉市
店名: 光谷青年汇, 地址: 臧龙岛凤凰大道1号光谷青年汇一层, 省市: 湖北省, 武汉市
店名: 儿童医院门诊大楼, 地址: 香港路100号（西马街球场路115号）一层, 省市: 湖北省, 武汉市
店名: 南国中心, 地址: 江汉区解放大道1381号泛悦南国中心一期1-2层, 省市: 湖北省, 武汉市
店名: 珞狮路, 地址: 洪山区珞狮路425号南国泛悦城市奥莱一层, 省市: 湖北省, 武汉市
店名: 航空路, 地址: 江汉区航空路26号汉口新界广场项目一层, 省市: 湖北省, 武汉市
