店名: 胶南珠山餐厅, 地址: 黄岛区灵山湾路198号, 省市: 山东省, 青岛市
店名: 凯德新都心甜品站, 地址: 市北区黑龙江南路16、18号5F, 省市: 山东省, 青岛市
店名: 青岛大学麦岛校区, 地址: 崂山区青岛大学原学苑商场一层, 省市: 山东省, 青岛市
店名: 台东一路外卖点, 地址: 台东万达广场综合楼1F-B号商铺, 省市: 山东省, 青岛市
店名: 五四广场餐车, 地址: 福泰广场地上停车场, 省市: 山东省, 青岛市
店名: 莱西乐好, 地址: 青岛路东上海路南莱西乐好时代城一层, 省市: 山东省, 青岛市
店名: 威海路, 地址: 威海路189号妇女儿童用品市场1层2层, 省市: 山东省, 青岛市
店名: 城阳万达, 地址: 万达广场1019号商铺, 省市: 山东省, 青岛市
店名: 保利广场, 地址: 哈尔滨路88号保利广场一层, 省市: 山东省, 青岛市
店名: 西海岸梦乐城:86721773, 地址: 漓江西路1669号永旺梦乐城西海岸新区购物中心一层140号商铺, 省市: 山东省, 青岛市
店名: 东方影都独立甜品站, 地址: 青岛东方影都融创茂B1F光影市集1028b, 省市: 山东省, 青岛市
店名: 西海岸梦乐城甜品站:86721773, 地址: 漓江西路1669号永旺梦乐城青岛西海岸购物中心四层商铺458-3, 省市: 山东省, 青岛市
店名: 麦凯乐, 地址: 香港中路69号麦凯乐一层二层, 省市: 山东省, 青岛市
店名: 台湛路, 地址: 台湛路6号丽达生活广场, 省市: 山东省, 青岛市
店名: 上马利客来, 地址: 上马街道岙东中路106号利客来购物广场A座一层, 省市: 山东省, 青岛市
店名: 卓越蔚蓝, 地址: 双元路18号68号楼4单元103户全部以及104户的一部分, 省市: 山东省, 青岛市
店名: 悦荟广场, 地址: 人民路269号悦荟广场一、二层, 省市: 山东省, 青岛市
店名: 青岛博览城, 地址: 青草河南滨海大道西中铁青岛世界博览城一层, 省市: 山东省, 青岛市
