店名: 星海世纪广场餐厅, 地址: 星海世纪广场一楼肯德基, 省市: 安徽省, 合肥市
店名: 四里河永辉, 地址: 庐阳区四里河路与北二环交叉口明发商业广场一楼肯德基, 省市: 安徽省, 合肥市
店名: 天鹅湖万达, 地址: 天鹅湖万达肯德基餐厅, 省市: 安徽省, 合肥市
店名: 港汇广场, 地址: 望江路与潜山路交口东北角港汇广场一层, 省市: 安徽省, 合肥市
店名: 百乐门苏果, 地址: 繁华大道南、莲花路西百乐门名品广场一层, 省市: 安徽省, 合肥市
店名: 宝业广场, 地址: 宝业东城广场一楼（附近餐厅密集注意地址）, 省市: 安徽省, 合肥市
店名: 紫云路DT, 地址: 金寨南路和紫云路交叉口, 省市: 安徽省, 合肥市
店名: 家天下乐购, 地址: 瑶海区铜陵北路家天下生活广场一层, 省市: 安徽省, 合肥市
店名: 怀宁路餐厅, 地址: 长江西路与怀宁路交叉口华联商厦一楼肯德基, 省市: 安徽省, 合肥市
店名: 合肥高铁南站, 地址: 高铁南站候车室西北夹层3楼肯德基, 省市: 安徽省, 合肥市
店名: 万象城精选, 地址: 政务区潜山路与习友路万象城L173号商铺, 省市: 安徽省, 合肥市
店名: 兴隆大润发, 地址: 望江东路与东二环交口星隆大润发超市一层, 省市: 安徽省, 合肥市
店名: 万象城, 地址: 政务区潜山南路与习友路交口华润万象城B123号商铺, 省市: 安徽省, 合肥市
店名: 世纪城, 地址: 蒙城北路与双墩路交口世纪金源购物中心一楼, 省市: 安徽省, 合肥市
店名: 曙光餐厅, 地址: 金寨路136号曙光商厦一层, 省市: 安徽省, 合肥市
店名: 长丰路餐厅, 地址: 长江路与长丰路交口西北角, 省市: 安徽省, 合肥市
店名: 万达文旅城, 地址: 南宁路与庐州大道交口东南角万达广场一层1037号商铺, 省市: 安徽省, 合肥市
店名: 加侨国际, 地址: 马鞍山路与南二环路交叉口, 省市: 安徽省, 合肥市
店名: 禹洲中央广场, 地址: 肥东县长江东路与金阳路交口, 省市: 安徽省, 合肥市
店名: 合肥高铁南站外卖点, 地址: 合肥高铁南站负一楼西二出站口南侧, 省市: 安徽省, 合肥市
店名: 宝利丰, 地址: 包河区徽州大道宝利丰广场漫乐城一层铺位号1F125、2F225, 省市: 安徽省, 合肥市
店名: 融侨永辉, 地址: 庐阳区阜阳北路融侨悦城永辉超市一二层, 省市: 安徽省, 合肥市
店名: 合肥半边街, 地址: 环城南路8号半边街一层, 省市: 安徽省, 合肥市
店名: 滨湖首创奥莱, 地址: 包河区滨湖区珠江路首创奥特莱斯南门F1层F1-B09、B10B号商铺, 省市: 安徽省, 合肥市
店名: 巢湖万达, 地址: 居巢区太湖山路与东塘路交口万达广场一层1035号铺位, 省市: 安徽省, 合肥市
店名: 云谷缤纷, 地址: 滨湖新区西藏路与云谷路交口/华冶金谷广场一层1-1001/1-1002商铺, 省市: 安徽省, 合肥市
店名: 万科广场, 地址: 固镇路与紫杉路交口万科广场一层西南角1030号铺位, 省市: 安徽省, 合肥市
店名: 肥东吾悦广场：电话：0551-67716523, 地址: 桥头集路与长江东路交口吾悦广场一层1022号铺位。电话：0551-67716523, 省市: 安徽省, 合肥市
店名: 正大广场甜品站, 地址: 包河区金寨路正大广场1010号铺位, 省市: 安徽省, 合肥市
店名: 佳源广场, 地址: 滨湖新区洞庭湖路与庐州大道交口佳源广场1F1036号铺位, 省市: 安徽省, 合肥市
店名: 庐江中心城, 地址: 文明中路世纪中心MALL一层, 省市: 安徽省, 合肥市
店名: 利港大润发, 地址: 包河区滨湖新区庐州大道与紫云路交口利港大润发超市一层, 省市: 安徽省, 合肥市
店名: 文集高速服务南区, 地址: 合宁高速文集服务区南区, 省市: 安徽省, 合肥市
店名: 合肥龙湖瑶海天街, 地址: 门台路与王岗路交口龙湖天街1楼3号门肯德基, 省市: 安徽省, 合肥市
店名: 包河DT, 地址: 包河DT, 省市: 安徽省, 合肥市
店名: 合肥北城万达, 地址: 阜阳北路与金峰路交口的万达广场1001号铺位, 省市: 安徽省, 合肥市
店名: 瑶海万达, 地址: 临泉路瑶海万达广场1F1008号+B2F-CK-CW-001铺位, 省市: 安徽省, 合肥市
店名: 文集服务区北区, 地址: 合宁高速文集服务区北区, 省市: 安徽省, 合肥市
店名: 肥西大润发, 地址: 青年路和金寨南路交叉口西北角一层, 省市: 安徽省, 合肥市
店名: 肥西丰乐服务区, 地址: 合安高速肥西丰乐服务区1层, 省市: 安徽省, 合肥市
店名: 丰乐服务区外卖点, 地址: 合安高速肥西丰乐服务区东区1层主入口, 省市: 安徽省, 合肥市
店名: 华盛大运城, 地址: 裕溪路与合宁高速交口华盛大运城一楼肯德基餐厅, 省市: 安徽省, 合肥市
