店名: 东莞福海, 地址: 长安镇厦岗村福源商场房屋首层B1005、B1006、B1007、B1008、B1039、B1040、B1041、B1042号商铺, 省市: 广东省, 东莞市
店名: 茶山, 地址: 茶山镇茶山大道南18号茶山购物商场一、二层, 省市: 广东省, 东莞市
店名: 林村, 地址: 塘厦镇宏业北路1号金地世纪广场首层第11栋113,114,115,116号商铺, 省市: 广东省, 东莞市
店名: 虎门大宁, 地址: 虎门大宁益惠购物商场首二层, 省市: 广东省, 东莞市
店名: 汇星, 地址: 石龙镇黄屋洲汇星商业中心, 省市: 广东省, 东莞市
店名: 虎门万达广场, 地址: 虎门镇博涌社区万达广场二层2005、2006号商铺, 省市: 广东省, 东莞市
店名: 东莞虎门站, 地址: 城市快速轨道交通2号线虎门火车站2号站房首层商铺, 省市: 广东省, 东莞市
店名: 远大, 地址: 大朗镇大井头村朗常路远大城市广场首层L120号铺, 省市: 广东省, 东莞市
店名: 东莞蜂汇广场, 地址: 蜂汇广场4号楼首层1083、1084、1085(南城区宏二路1号), 省市: 广东省, 东莞市
店名: 东进DT, 地址: 黄江镇社贝村东进肯德基DT店, 省市: 广东省, 东莞市
店名: 会展东, 地址: 厚街镇S256省道南五路段驰生商业中心汇展银座1栋首层部分, 省市: 广东省, 东莞市
店名: 国贸负一楼, 地址: 东城区鸿福东路1号国贸中心6号地下室B01层B1050-B1051号商铺, 省市: 广东省, 东莞市
店名: 国贸三楼, 地址: 东城区鸿福东路1号国贸中心5号商业楼L03层L3041A-L3041B号商铺, 省市: 广东省, 东莞市
店名: 桥头桥光大道, 地址: 桥头镇桥头村桥光大道桥头段165号上悦汇首层肯德基, 省市: 广东省, 东莞市
店名: 万润广场, 地址: 寮步镇香市路万润财富中心1幢商业办公里楼首层1018-1019铺, 省市: 广东省, 东莞市
店名: 光明路, 地址: 石碣镇光明路与同富东路交界的合信广场1号商业首层104号铺, 省市: 广东省, 东莞市
店名: 东莞国贸甜品站, 地址: 东城区鸿福东路1号国贸中心5号商业楼四层L4-NGD-03（甜品站）, 省市: 广东省, 东莞市
店名: 华阳, 地址: 麻涌镇华阳湖创客坊1栋首层, 省市: 广东省, 东莞市
店名: 长安万科, 地址: 长安镇长安长青南路长安万科1号7栋1018室（商场首层L1-018和L1-019号商铺）, 省市: 广东省, 东莞市
店名: 虎门万科里, 地址: 虎门镇虎门长德路38号 114栋131、132室, 省市: 广东省, 东莞市
店名: 松湖华为, 地址: 松山湖高新技术产业开发区环湖路9号华为溪流背坡村H区H10栋负一楼H10-B1-RB01, 省市: 广东省, 东莞市
店名: 翔龙天地, 地址: 常平镇板石村常平大道88号翔龙天地广场9幢首层1014号铺，二层2002号铺, 省市: 广东省, 东莞市
店名: 翔龙天地甜品站, 地址: 常平镇板石村常平大道88号翔龙天地广场9幢首层1014号铺, 省市: 广东省, 东莞市
店名: 金美, 地址: 常平镇金美村万和百货广场 一、二层, 省市: 广东省, 东莞市
店名: 蛤地, 地址: 东莞大道南城总部基地浙商大厦汇海新天地一层1F-022、1F-023号商铺, 省市: 广东省, 东莞市
店名: 东兴路, 地址: 东坑镇东兴中路125号锦绣豪园1幢商业、办公楼1层1-02号商铺, 省市: 广东省, 东莞市
店名: 环城东路, 地址: 东城街道环城东路广汇商贸中心5栋101-103铺肯德基餐厅, 省市: 广东省, 东莞市
店名: 田心, 地址: 塘厦镇塘厦田心路82号1栋1003室, 省市: 广东省, 东莞市
店名: 现代广场, 地址: 石龙镇绿化路现代广场首、二层, 省市: 广东省, 东莞市
店名: 东莞虎门赤岗, 地址: 虎门虎门镇赤岗南坊路48号108室, 省市: 广东省, 东莞市
